file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.608,8372,8.27
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8383,13.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8392,6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.125,8404,16.4
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.641,8420,15.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.608,8436,17.53
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.531,8455,19.69
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.059,8476,23.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.794,8499,22.65
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8514,6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8515,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.756,8513,-1.73
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.01,8515,6.9
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.469,8523,7.96
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.289,8532,9.84
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.612,8539,3.69
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.252,8542,2.87
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.579,8551,15.14
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.17,8567,16.51
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.113,8583,16.38
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.43,8603,24.16
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.003,8627,23.15
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.311,8651,23.87
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.065,8672,18.59
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8678,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8675,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.916,8678,6.68
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.809,8684,6.44
