file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.754,6934,29.7
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.202,6964,30.79
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.126,6992,25.81
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.759,7020,29.72
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.765,7048,27.33
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.915,7076,27.69
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.243,7105,30.88
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.132,7135,28.21
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.609,7165,31.77
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.767,7193,24.95
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.453,7218,24.21
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.945,7243,25.38
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.911,7267,22.93
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.597,7292,26.93
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.649,7317,24.68
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.837,7341,22.75
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.077,7363,20.97
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.288,7385,23.82
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.724,7406,17.8
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.191,7426,21.23
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.71,7450,27.2
BradleyMountain2019-06-13.gpx,10-20,6500-8000,14.555,7481,34.07
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.927,7518,39.94
BradleyMountain2019-06-13.gpx,10-20,6500-8000,14.137,7554,33.05
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.133,7582,23.45
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.457,7607,26.6
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.075,7634,25.69
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.566,7660,26.86
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.116,7684,21.06
BradleyMountain2019-06-13.gpx,0-10,6500-8000,8.674,7704,20.02
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.351,7723,16.93
BradleyMountain2019-06-13.gpx,0-10,6500-8000,6.005,7738,13.8
BradleyMountain2019-06-13.gpx,0-10,6500-8000,1.871,7747,4.29
BradleyMountain2019-06-13.gpx,0-10,6500-8000,5.313,7755,12.2
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.842,7773,22.77
BradleyMountain2019-06-13.gpx,20-30,6500-8000,25.219,7815,61.81
BradleyMountain2019-06-13.gpx,20-30,6500-8000,20.687,7871,49.56
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.35,7911,31.14
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.676,7938,22.37
BradleyMountain2019-06-13.gpx,0-10,6500-8000,2.984,7953,6.84
BradleyMountain2019-06-13.gpx,0-10,6500-8000,0.0,7956,0.0
BradleyMountain2019-06-13.gpx,0-10,6500-8000,4.289,7961,9.84
BradleyMountain2019-06-13.gpx,0-10,6500-8000,1.432,7968,3.28
BradleyMountain2019-06-13.gpx,0-10,6500-8000,0.0,7969,0.0
BradleyMountain2019-06-13.gpx,0-10,6500-8000,2.862,7972,6.56
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.125,7984,16.4
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.531,8002,19.69
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8018,13.12
BradleyMountain2019-06-13.gpx,10-20,8000-9500,12.79,8040,29.79
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.907,8071,32.49
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.047,8102,30.41
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.274,8134,33.39
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.98,8169,35.12
BradleyMountain2019-06-13.gpx,10-20,8000-9500,18.183,8208,43.1
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.998,8241,23.13
BradleyMountain2019-06-13.gpx,10-20,8000-9500,12.386,8267,28.82
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.253,8297,30.91
BradleyMountain2019-06-13.gpx,10-20,8000-9500,14.509,8329,33.96
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.46,8351,10.24
BradleyMountain2019-06-13.gpx,0-10,8000-9500,4.969,8362,11.41
